feature,remember_effect,correct_effect,remember_abs_effect,correct_abs_effect,effect_difference_correct_minus_remember,absolute_cross_target_difference,direction_relationship,target_specificity,cross_target_pattern,remember_p_fdr,correct_p_fdr,remember_fdr_significant,correct_fdr_significant,significance_pattern,target_dissociation_score,cross_target_rank
alpha_abs,-0.0458861984524665,0.2737862285941788,0.0458861984524665,0.2737862285941788,0.3196724270466453,0.3196724270466453,opposite_direction,correct_dominant,target_dissociated,0.3015399647253492,0.0029074766612216,False,True,significant_correct_only,0.6393448540932906,23
alpha_frontoparietal_diff,0.0684199667011435,-0.2457983468651301,0.0684199667011435,0.2457983468651301,-0.3142183135662736,0.3142183135662736,opposite_direction,correct_dominant,target_dissociated,0.288006678655872,0.0550740446736389,False,False,not_fdr_significant,0.6284366271325472,24
alpha_temporal,-0.0507766219419318,0.2003667333175489,0.0507766219419318,0.2003667333175489,0.25114335525948067,0.25114335525948067,opposite_direction,correct_dominant,target_dissociated,0.1534755902104805,0.001972721506344,False,True,significant_correct_only,0.5022867105189613,25
alpha_frontal,-0.0242559269682092,0.1761544002949546,0.0242559269682092,0.1761544002949546,0.2004103272631638,0.2004103272631638,opposite_direction,correct_dominant,target_dissociated,0.3941173734800816,0.0029946881408546,False,True,significant_correct_only,0.4008206545263276,26
beta_frontoparietal_ratio,-0.0463761073516613,-0.178807458673208,0.0463761073516613,0.178807458673208,-0.1324313513215467,0.1324313513215467,same_direction,correct_dominant,target_preferential,0.1999256381151888,0.0085918631731332,False,True,significant_correct_only,0.35761491734641604,27
theta_alpha_occipital_ratio,0.0298974587509148,0.1631099213552205,0.0298974587509148,0.1631099213552205,0.13321246260430572,0.13321246260430572,same_direction,correct_dominant,target_preferential,0.5208818257007937,0.0288426366003303,False,True,significant_correct_only,0.326219842710441,28
theta_frontoparietal_ratio,0.0131054124356159,-0.095871240909116,0.0131054124356159,0.095871240909116,-0.1089766533447319,0.1089766533447319,opposite_direction,correct_dominant,target_dissociated,0.2459270338739749,0.0001240276747523,False,True,significant_correct_only,0.2179533066894638,29
theta_alpha_parietal_ratio,-0.021540623757889,0.0862189671251065,0.021540623757889,0.0862189671251065,0.1077595908829955,0.1077595908829955,opposite_direction,correct_dominant,target_dissociated,0.393430396838869,0.0488369886158184,False,True,significant_correct_only,0.215519181765991,30
beta_temporal,0.0102360165548607,0.1063339822220392,0.0102360165548607,0.1063339822220392,0.0960979656671785,0.0960979656671785,same_direction,correct_dominant,target_preferential,0.226355094182684,4.4132371288135055e-24,False,True,significant_correct_only,0.2126679644440784,31
gamma_temporal,0.0114701590569815,0.0824967064193827,0.0114701590569815,0.0824967064193827,0.0710265473624012,0.0710265473624012,same_direction,correct_dominant,weak_cross_target_pattern,0.0695944480178895,4.008837981489088e-23,False,True,significant_correct_only,0.1649934128387654,32
delta_frontoparietal_ratio,0.0091484223653113,-0.069527851805583,0.0091484223653113,0.069527851805583,-0.0786762741708943,0.0786762741708943,opposite_direction,correct_dominant,weak_cross_target_pattern,0.6195672198226734,0.0459357547964619,False,True,significant_correct_only,0.1573525483417886,33
beta_parietal,0.00543485157311,0.0551153219768879,0.00543485157311,0.0551153219768879,0.0496804704037779,0.0496804704037779,same_direction,correct_dominant,weak_cross_target_pattern,0.3558232428929716,2.7374404943671806e-09,False,True,significant_correct_only,0.1102306439537758,34
beta_frontoparietal_diff,-0.0004816229401669,-0.0525472242842672,0.0004816229401669,0.0525472242842672,-0.0520656013441003,0.0520656013441003,same_direction,correct_dominant,weak_cross_target_pattern,0.9318645678505734,0.0029946881408546,False,True,significant_correct_only,0.1050944485685344,35
